CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId
5,5,Reputation,6792,152,662,29229,1145,6,5
6,5,Reputation,6792,28,662,1990,1145,103,5
2,5,Reputation,6792,75,662,29261,1145,125,5
7,5,Reputation,6792,156,662,64481,1145,423,5
1,5,Reputation,6792,10,662,1005,1145,562,5
1,5,Reputation,6792,5,662,725,1145,898,5
1,5,Reputation,6792,26,662,2762,1145,1826,5
0,5,Reputation,6792,11,662,493,1145,1904,5
3,5,Reputation,6792,7,662,455,1145,1906,5
0,5,Reputation,6792,5,662,351,1145,1908,5
7,5,Reputation,6792,3,662,286,1145,1912,5
2,5,Reputation,6792,13,662,520,1145,2072,5
0,5,Reputation,6792,21,662,9878,1145,2077,5
0,5,Reputation,6792,22,662,4469,1145,2149,5
3,5,Reputation,6792,11,662,709,1145,2167,5
2,5,Reputation,6792,15,662,3182,1145,2213,5
2,5,Reputation,6792,24,662,1475,1145,2245,5
1,25,Reputation,6764,23,604,1278,1089,1,8
7,25,Reputation,6764,41,604,67396,1089,36,8
1,25,Reputation,6764,30,604,1220,1089,114,8
1,25,Reputation,6764,17,604,1022,1089,168,8
1,25,Reputation,6764,56,604,7733,1089,170,8
5,25,Reputation,6764,13,604,1765,1089,1173,8
2,25,Reputation,6764,8,604,498,1089,1529,8
4,25,Reputation,6764,15,604,795,1089,2348,8
0,25,Reputation,6764,29,604,1068,1089,3460,8
0,25,Reputation,6764,12,604,422,1089,3532,8
2,25,Reputation,6764,73,604,4526,1089,3814,8
3,25,Reputation,6764,12,604,1575,1089,5184,8
3,1,Reputation,817,66,44,175495,178,31,13
1,1,Reputation,817,29,44,28291,178,175,13
2,23,Reputation,4968,2,328,3980,641,109,25
7,23,Reputation,4968,13,328,3142,641,1844,25
6,23,Reputation,4968,14,328,3883,641,12002,25
0,23,Reputation,4968,5,328,842,641,15350,25
0,23,Reputation,4968,3,328,3028,641,17378,25
14,23,Reputation,4968,10,328,2305,641,29158,25
11,23,Reputation,4968,21,328,1131,641,31591,25
1,23,Reputation,4968,2,328,355,641,35433,25
7,23,Reputation,4968,11,328,418,641,65044,25
1,23,Reputation,4968,7,328,367,641,111283,25
0,23,Reputation,4968,6,328,120,641,111756,25
6,23,Reputation,4968,31,328,3494,641,114763,25
1,7,Reputation,3150,16,138,4065,257,7358,26
0,7,Reputation,3150,8,138,365,257,8570,26
2,7,Reputation,3150,5,138,353,257,10006,26
0,7,Reputation,3150,2,138,52,257,10421,26
5,7,Reputation,3150,2,138,50,257,11300,26
2,1,Reputation,2250,8,28,404,318,4114,29
2,3,Reputation,2185,14,40,1016,312,841,30
5,3,Reputation,2185,15,40,1544,312,2772,30
0,3,Reputation,2185,6,40,597,312,3898,30
1,3,Reputation,2185,11,40,1166,312,4267,30
0,3,Reputation,2185,3,40,284,312,4286,30
5,3,Reputation,2185,3,40,248,312,6320,30
5,3,Reputation,2185,29,40,1806,312,6421,30
1,3,Reputation,2185,4,40,150,312,7293,30
7,3,Reputation,2185,4,40,97,312,7364,30
1,3,Reputation,2185,21,40,1926,312,7860,30
0,3,Reputation,2185,4,40,247,312,8526,30
3,3,Reputation,2185,7,40,638,312,10478,30
3,3,Reputation,2185,7,40,380,312,10806,30
0,3,Reputation,2185,2,40,182,312,11537,30
0,3,Reputation,2185,12,40,1210,312,11872,30
10,3,Reputation,2185,9,40,268,312,12281,30
4,3,Reputation,2185,6,40,127,312,15394,30
4,3,Reputation,2185,2,40,438,312,15480,30
4,3,Reputation,2185,5,40,718,312,21850,30
0,3,Reputation,2185,2,40,73,312,106373,30
8,1,Reputation,1570,12,26,2983,173,7225,36
0,1,Reputation,1570,16,26,2435,173,7357,36
8,1,Reputation,1570,13,26,482,173,8044,36
2,1,Reputation,1570,8,26,2966,173,10744,36
0,1,Reputation,1570,6,26,2119,173,13869,36
0,1,Reputation,1570,42,26,14706,173,14002,36
0,1,Reputation,1570,1,26,272,173,17283,36
0,1,Reputation,1570,7,26,161,173,21071,36
1,1,Reputation,1570,12,26,7912,173,31726,36
2,1,Reputation,1570,2,26,126,173,113626,36
5,0,Reputation,1651,9,12,413,255,113,39
0,0,Reputation,1651,11,12,339,255,558,39
5,0,Reputation,861,7,12,986,62,5171,52
1,0,Reputation,861,4,12,245,62,5233,52
0,0,Reputation,861,2,12,989,62,5270,52
4,0,Reputation,861,3,12,2375,62,5333,52
0,0,Reputation,861,16,12,1016,62,5414,52
2,0,Reputation,861,2,12,353,62,6078,52
0,0,Reputation,861,6,12,232,62,6480,52
3,0,Reputation,861,7,12,2502,62,6940,52
0,0,Reputation,861,3,12,983,62,11093,52
1,0,Reputation,861,1,12,263,62,14566,52
3,0,Reputation,861,87,12,11927,62,26088,52
0,0,Reputation,861,10,12,581,62,33283,52
4,0,Reputation,861,0,12,158,62,38210,52
3,4,Reputation,1956,5,39,412,147,93,61
1,0,Reputation,614,102,12,21916,102,22,66
0,1,Reputation,1936,15,2317,2519,328,173,71
2,1,Reputation,1936,8,2317,219,328,1378,71
2,1,Reputation,1936,71,2317,24738,328,2272,71
4,1,Reputation,1936,9,2317,345,328,3064,71
0,1,Reputation,1936,5,2317,357,328,3855,71
3,1,Reputation,1936,9,2317,7407,328,4394,71
0,1,Reputation,1936,2,2317,284,328,9596,71
0,0,Reputation,800,9,58,332,77,692,72
5,0,Reputation,800,4,58,200,77,19066,72
4,0,Reputation,800,3,58,407,77,22497,72
3,65,Reputation,2316,56,74,22890,1126,165,74
2,65,Reputation,2316,52,74,5188,1126,363,74
2,65,Reputation,2316,4,74,1286,1126,641,74
1,65,Reputation,2316,7,74,692,1126,1023,74
